feature,importance
hour,0.826636622661863
day,0.10937676982785452
temp,0.04064332674117912
month,0.010360071228516008
clouds_all,0.006587568989505807
weather_severity,0.003274577262543615
rain_intensity,0.0013522290935695958
rain_1h,0.0013233275236017212
temp_humidity,0.0002155539800211046
wind,0.00014982060739233003
humidity,8.01320839531325e-05
is_holiday,0.0
